"module name","license","repository"
"@aws-amplify/analytics@1.2.10","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/api@1.0.26","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/auth@1.2.15","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/cache@1.0.22","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/core@1.0.22","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/interactions@1.0.25","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/pubsub@1.0.22","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/storage@1.0.25","Apache-2.0","https://github.com/aws/aws-amplify"
"@aws-amplify/ui@1.0.15","MIT",""
"@aws-amplify/xr@0.1.12","Apache-2.0","https://github.com/aws/aws-amplify"
"@babel/code-frame@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/core@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"@babel/generator@7.1.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"@babel/helper-annotate-as-pure@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure"
"@babel/helper-builder-binary-assignment-operator-visitor@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor"
"@babel/helper-builder-react-jsx@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx"
"@babel/helper-call-delegate@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate"
"@babel/helper-define-map@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map"
"@babel/helper-explode-assignable-expression@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression"
"@babel/helper-function-name@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"@babel/helper-get-function-arity@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"@babel/helper-hoist-variables@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables"
"@babel/helper-member-expression-to-functions@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions"
"@babel/helper-module-imports@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports"
"@babel/helper-module-transforms@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms"
"@babel/helper-optimise-call-expression@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression"
"@babel/helper-plugin-utils@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils"
"@babel/helper-regex@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex"
"@babel/helper-remap-async-to-generator@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator"
"@babel/helper-replace-supers@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers"
"@babel/helper-simple-access@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access"
"@babel/helper-split-export-declaration@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration"
"@babel/helper-wrap-function@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-wrap-function"
"@babel/helpers@7.1.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers"
"@babel/highlight@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/parser@7.1.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser"
"@babel/plugin-proposal-async-generator-functions@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-async-generator-functions"
"@babel/plugin-proposal-class-properties@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-class-properties"
"@babel/plugin-proposal-json-strings@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-json-strings"
